list-il-s,32,4,1,384,1319436,3436
list-il-s,32,8,1,768,1415308,1842
list-il-s,32,16,1,1536,2103675,1369
list-il-s,32,32,1,3072,2530804,823
list-dl-s,32,2,1,192,1286720,6701
list-dl-s,32,4,1,384,1958950,5101
list-dl-s,32,8,1,768,1987877,2588
list-dl-s,32,16,1,1536,1645481,1071
list-dl-s,32,32,1,3072,2823005,918
list-none-none,1,1000,1,3000,5393703,1797
list-none-m,1,1000,1,3000,5392043,1797
list-none-m,2,1000,1,6000,10840192,1806
list-none-m,4,1000,1,12000,21980670,1831
list-none-m,8,1000,1,24000,44148585,1839
list-none-m,12,1000,1,36000,65638732,1823
list-none-m,16,1000,1,48000,87058232,1813
list-none-m,24,1000,1,72000,131183692,1821
list-none-s,1,1000,1,3000,5487819,1829
list-none-s,2,1000,1,6000,10872145,1812
list-none-s,4,1000,1,12000,22954831,1912
list-none-s,8,1000,1,24000,45073337,1878
list-none-s,12,1000,1,36000,74377722,2066
list-none-s,16,1000,1,48000,118051249,2459
list-none-s,24,1000,1,72000,176128598,2446
